,pred_Y,pred_Y_ratio,raw_Y,raw_lag,target_Y_ratio,cost,revenue,profit,benchmark_profit
547,6624.494800043995,0.21261116603404637,5531,5463.0,0.012,13248.98960008799,16593.0,3344.0103999120092,5463.0
548,6642.298848107016,0.16797940005398565,6227,5687.0,0.095,13284.597696214032,18681.0,5396.402303785968,5687.0
549,6765.6215854286365,0.22321851119664388,6660,5531.0,0.204,13531.243170857273,19980.0,6448.756829142727,5531.0
550,6909.264890845861,0.10956558388403112,7403,6227.0,0.189,13818.529781691723,20727.794672537584,6909.264890845861,6227.0
551,6497.606489001527,-0.0243834100598308,6241,6660.0,-0.063,12995.212978003054,18723.0,5727.787021996946,5403.0
552,6852.023567521108,-0.07442610191528998,6207,7403.0,-0.162,13704.047135042216,18621.0,4916.952864957784,3815.0
553,6791.828187704848,0.08825960386233733,4840,6241.0,-0.224,13583.656375409695,14520.0,936.3436245903049,2038.0
554,6605.338703183995,0.06417572147317471,4672,6207.0,-0.247,13210.67740636799,14016.0,805.3225936320105,1602.0
555,4893.619866666667,0.011078484848484829,6569,4840.0,0.357,9787.239733333334,14680.8596,4893.619866666666,4840.0
556,5395.575999999999,0.15487499999999996,6290,4672.0,0.346,10791.151999999998,16186.727999999997,5395.575999999999,4672.0
557,6677.33976274704,0.016492580719598214,7264,6569.0,0.106,13354.67952549408,20032.01928824112,6677.33976274704,6569.0
558,6459.188082581159,0.026897946356305116,7446,6290.0,0.184,12918.376165162317,19377.564247743474,6459.188082581157,6290.0
559,6092.183872313396,-0.16131829951632767,7499,7264.0,0.032,12184.367744626792,18276.55161694019,6092.183872313397,7264.0
560,5775.060605329004,-0.22440765440115437,6969,7446.0,-0.064,11550.121210658008,17325.181815987013,5775.060605329005,6015.0
561,6806.820254373654,-0.09230293980882065,6031,7499.0,-0.196,13613.640508747309,18093.0,4479.359491252691,3095.0
