,pred_Y,pred_Y_ratio,raw_Y,raw_lag,target_Y_ratio,cost,revenue,profit,benchmark_profit
365,2129.255793571472,-0.2900114,2294,2999.0,-0.235,4258.511587142944,6387.7673807144165,2129.255793571472,884.0
366,1920.9629186987877,-0.2269767,1951,2485.0,-0.215,3841.9258373975754,5762.888756096363,1920.9629186987877,883.0
367,1739.64331138134,-0.24165505,2236,2294.0,-0.025,3479.28662276268,5218.92993414402,1739.64331138134,2120.0
368,1959.03531396389,0.004118532,2368,1951.0,0.214,3918.07062792778,5877.10594189167,1959.03531396389,1951.0
369,2970.2240691184998,0.32836497,3272,2236.0,0.463,5940.4481382369995,8910.6722073555,2970.2240691184998,2236.0
370,2844.7899627685547,0.20134705,4098,2368.0,0.731,5689.579925537109,8534.369888305664,2844.7899627685547,2368.0
371,3347.4003257751465,0.023044169,4521,3272.0,0.382,6694.800651550293,10042.20097732544,3347.4003257751465,3272.0
372,2989.4409091472626,-0.27051222,3425,4098.0,-0.164,5978.881818294525,8968.322727441788,2989.4409091472626,2079.0
373,1225.237474322319,-0.7289897,2376,4521.0,-0.474,2450.474948644638,3675.712422966957,1225.237474322319,-1914.0
374,3809.090319275856,0.11214319,3598,3425.0,0.051,7618.180638551712,10794.0,3175.819361448288,3425.0
375,1586.0699744224548,-0.33246213,2177,2376.0,-0.084,3172.1399488449097,4758.2099232673645,1586.0699744224548,1779.0
376,3275.692448735237,-0.08957964,4097,3598.0,0.139,6551.384897470474,9827.077346205711,3275.692448735237,3598.0
377,2352.444710612297,0.0805901,3214,2177.0,0.476,4704.889421224594,7057.334131836891,2352.444710612297,2177.0
378,2853.447693169117,-0.30352753,2493,4097.0,-0.392,5706.895386338234,7479.0,1772.104613661766,-715.0
379,2641.436058998108,-0.17814684,2311,3214.0,-0.281,5282.872117996216,6933.0,1650.1278820037842,505.0
380,1749.176211297512,-0.29836494,2298,2493.0,-0.078,3498.352422595024,5247.528633892536,1749.176211297512,1908.0
381,3173.0355676412582,0.3730141,2935,2311.0,0.27,6346.0711352825165,8805.0,2458.9288647174835,2311.0
382,2640.256100177765,0.14893645,3376,2298.0,0.469,5280.51220035553,7920.768300533295,2640.256100177765,2298.0
383,2409.3618604540825,-0.17909306,3292,2935.0,0.122,4818.723720908165,7228.0855813622475,2409.3618604540825,2935.0
384,3373.877878189087,-0.0006285906,3163,3376.0,-0.063,6747.755756378174,9489.0,2741.244243621826,2737.0
385,892.1658406257629,-0.7289897,1301,3292.0,-0.605,1784.3316812515259,2676.497521877289,892.1658406257629,-2681.0
386,1591.080503165722,-0.49697107,1977,3163.0,-0.375,3182.161006331444,4773.241509497166,1591.080503165722,-395.0
387,2418.411000728607,0.85888624,2432,1301.0,0.869,4836.822001457214,7255.2330021858215,2418.411000728607,1301.0
388,2714.4488607645035,0.3730141,4339,1977.0,1.195,5428.897721529007,8143.34658229351,2714.4488607645035,1977.0
389,2452.890838623047,0.008589953,4270,2432.0,0.756,4905.781677246094,7358.672515869141,2452.890838623047,2432.0
390,2636.2772325873375,-0.39242285,4075,4339.0,-0.061,5272.554465174675,7908.8316977620125,2636.2772325873375,3547.0
